unnamed:_0_level_0,all_jurisdictions,all_jurisdictions.1,all_jurisdictions.2,all_jurisdictions.3,all_jurisdictions.4,federal_jurisdiction,federal_jurisdiction.1,federal_jurisdiction.2,federal_jurisdiction.3,federal_jurisdiction.4,provincial_jurisdiction,provincial_jurisdiction.1,provincial_jurisdiction.2,provincial_jurisdiction.3,provincial_jurisdiction.4,page_source,section,extraction_date
Unnamed: 0_level_1,Number of agreements,Number of employees,Duration of agreements in months (average),First year percentage adjustment (average),Annual percentage adjustment (average),Number of agreements,Number of employees,Duration of agreements in months (average),First year percentage adjustment (average),Annual percentage adjustment (average),Number of agreements,Number of employees,Duration of agreements in months (average),First year percentage adjustment (average),Annual percentage adjustment (average),,,
Primary industries,,,,,,,,,,,,,,,,jurisdiction_industry,Q32023,2025-10-21
Utilities,1,5408,30.0,4.5,4.8,,,,,,1,5408,30.0,4.5,4.8,jurisdiction_industry,Q32023,2025-10-21
Construction,2,1849,56.8,12.8,4.0,1,850,60.0,4.0,3.8,1,999,54.0,20.3,4.2,jurisdiction_industry,Q32023,2025-10-21
Manufacturing,3,7490,37.7,9.0,4.9,,,,,,3,7490,37.7,9.0,4.9,jurisdiction_industry,Q32023,2025-10-21
Wholesale and retail trade,1,1400,36.0,2.0,4.0,,,,,,1,1400,36.0,2.0,4.0,jurisdiction_industry,Q32023,2025-10-21
Transportation,7,16358,43.9,4.5,4.3,5,12608,44.5,4.8,5.0,2,3750,42.0,3.3,2.1,jurisdiction_industry,Q32023,2025-10-21
Information and culture,2,1883,46.8,5.5,2.6,2,1883,46.8,5.5,2.6,,,,,,jurisdiction_industry,Q32023,2025-10-21
Finance and professional services,,,,,,,,,,,,,,,,jurisdiction_industry,Q32023,2025-10-21
"Education, health, and social services",16,101311,33.6,6.2,4.6,,,,,,16,101311,33.6,6.2,4.6,jurisdiction_industry,Q32023,2025-10-21
Entertainment and hospitality,,,,,,,,,,,,,,,,jurisdiction_industry,Q32023,2025-10-21
Public administration,14,33608,45.8,2.4,3.0,4,20995,47.0,1.7,3.0,10,12613,43.6,3.5,3.0,jurisdiction_industry,Q32023,2025-10-21
All industries,32,180530,48.9,4.0,3.0,4,26541,50.5,3.8,3.3,28,153989,48.6,4.0,3.0,jurisdiction_industry,Q42023,2025-10-21
Primary industries,,,,,,,,,,,,,,,,jurisdiction_industry,Q42023,2025-10-21
Utilities,1,3220,24.0,3.7,3.5,,,,,,1,3220,24.0,3.7,3.5,jurisdiction_industry,Q42023,2025-10-21
Construction,,,,,,,,,,,,,,,,jurisdiction_industry,Q42023,2025-10-21
Manufacturing,3,13000,36.4,9.8,5.2,,,,,,3,13000,36.4,9.8,5.2,jurisdiction_industry,Q42023,2025-10-21
