unnamed:_0_level_0,total,total.1,total.2,total.3,total.4,without_cola,without_cola.1,without_cola.2,without_cola.3,without_cola.4,with_cola,with_cola.1,with_cola.2,with_cola.3,with_cola.4,page_source,section,extraction_date
Unnamed: 0_level_1,Number of agreements,Number of employees,Duration of agreements in months (average),First year percentage adjustment (average),Annual percentage adjustment (average),Number of agreements,Number of employees,Duration of agreements in months (average),First year percentage adjustment (average),Annual percentage adjustment (average),Number of agreements,Number of employees,Duration of agreements in months (average),First year percentage adjustment (average),Annual percentage adjustment (average),,,
Information and culture,2,3450,43.9,1.2,1.3,2,3450,43.9,1.2,1.3,,,,,,cola_industry,2020,2025-10-21
Finance and professional services,9,25148,45.8,1.3,1.6,9,25148,45.8,1.3,1.6,,,,,,cola_industry,2020,2025-10-21
"Education, health, and social services",74,385643,36.4,1.5,1.9,74,385643,36.4,1.5,1.9,,,,,,cola_industry,2020,2025-10-21
Entertainment and hospitality,3,2038,31.3,1.6,1.7,3,2038,31.3,1.6,1.7,,,,,,cola_industry,2020,2025-10-21
Public administration,33,207779,42.7,2.3,1.9,33,207779,42.7,2.3,1.9,,,,,,cola_industry,2020,2025-10-21
All industries,179,1030411,42.8,1.8,1.9,175,978532,42.9,1.8,1.9,4,51879,40.3,2.2,2.6,cola_industry,2021,2025-10-21
Primary industries,3,3139,44.5,1.4,2.4,2,1260,39.4,2.4,2.4,1,1879,48.0,0.6,2.3,cola_industry,2021,2025-10-21
Utilities,8,17469,27.5,1.1,1.1,8,17469,27.5,1.1,1.1,,,,,,cola_industry,2021,2025-10-21
Construction,9,149177,47.9,2.0,2.0,9,149177,47.9,2.0,2.0,,,,,,cola_industry,2021,2025-10-21
Manufacturing,15,14707,51.2,4.5,2.3,14,12707,49.8,3.9,2.1,1,2000,60.0,8.4,3.3,cola_industry,2021,2025-10-21
Wholesale and retail trade,10,24770,55.8,1.5,1.4,9,18770,62.2,1.4,1.2,1,6000,36.0,2.0,2.0,cola_industry,2021,2025-10-21
Transportation,14,57058,40.6,2.1,2.5,13,15058,43.4,2.4,2.0,1,42000,39.7,2.0,2.7,cola_industry,2021,2025-10-21
Information and culture,5,8228,57.5,1.7,1.9,5,8228,57.5,1.7,1.9,,,,,,cola_industry,2021,2025-10-21
Finance and professional services,6,7582,43.2,0.5,2.1,6,7582,43.2,0.5,2.1,,,,,,cola_industry,2021,2025-10-21
"Education, health, and social services",69,584584,38.9,1.8,1.9,69,584584,38.9,1.8,1.9,,,,,,cola_industry,2021,2025-10-21
Entertainment and hospitality,4,4836,36.7,0.1,1.0,4,4836,36.7,0.1,1.0,,,,,,cola_industry,2021,2025-10-21
Public administration,36,158861,51.4,1.7,1.9,36,158861,51.4,1.7,1.9,,,,,,cola_industry,2021,2025-10-21
All industries,147,706936,42.5,2.8,2.7,143,640736,43.2,2.7,2.6,4,66200,36.0,4.1,3.8,cola_industry,2022,2025-10-21
Primary industries,1,1011,60.0,2.0,2.0,1,1011,60.0,2.0,2.0,,,,,,cola_industry,2022,2025-10-21
Utilities,4,3055,44.7,0.4,1.6,4,3055,44.7,0.4,1.6,,,,,,cola_industry,2022,2025-10-21
Construction,8,58510,35.7,4.6,4.4,8,58510,35.7,4.6,4.4,,,,,,cola_industry,2022,2025-10-21
Manufacturing,8,12376,52.3,9.0,3.9,7,9666,56.9,11.3,4.5,1,2710,35.9,0.8,1.8,cola_industry,2022,2025-10-21
Wholesale and retail trade,3,10577,43.5,7.9,3.1,3,10577,43.5,7.9,3.1,,,,,,cola_industry,2022,2025-10-21
Transportation,17,42278,42.0,3.3,2.9,17,42278,42.0,3.3,2.9,,,,,,cola_industry,2022,2025-10-21
Information and culture,9,15770,47.8,2.6,2.4,9,15770,47.8,2.6,2.4,,,,,,cola_industry,2022,2025-10-21
Finance and professional services,9,23855,53.6,1.8,2.1,9,23855,53.6,1.8,2.1,,,,,,cola_industry,2022,2025-10-21
"Education, health, and social services",59,404495,42.9,2.5,2.6,57,341685,44.2,2.1,2.3,2,62810,36.0,4.2,3.9,cola_industry,2022,2025-10-21
